,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
3712,984,葛西 善蔵,1097,椎の若葉,新字旧仮名,,林田清明,松永正敏,公開,2000-09-21,現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮路嘉六　木山捷平　集,筑摩書房,1973（昭和48）年2月5日初版第1刷,
3746,74,梶井 基次郎,47552,桜の樹の下には,新字旧仮名,,hoge,小林繁雄,公開,2008-03-12,現代日本文學大系　63　梶井基次郎・外村繁・中島敦集,筑摩書房,1987（昭和62）年9月15日初版第14刷,1987（昭和62）年9月15日初版第14刷
3772,74,梶井 基次郎,46349,檸檬,旧字旧仮名,,高柳典子,小林繁雄,公開,2006-09-10,創作　檸檬,十字屋書店,1940（昭和15）年12月20日第2刷,1940（昭和15）年12月20日第2刷
3950,248,上司 小剣,1334,鱧の皮,新字旧仮名,,鈴木厚司,林幸雄,公開,2001-03-02,現代日本文學体系21　岩野泡鳴・上司小劍・眞山青果・近松秋江集,筑摩書房,1975（昭和50）年3月5日第5刷,1985（昭和60）年11月10日第14刷
4099,83,菊池 寛,47858,入れ札,新字新仮名,,川山隆,noriko saito,公開,2008-08-25,藤十郎の恋・恩讐の彼方に,新潮文庫、新潮社,1990（平成2）年1月15日第34刷,1990（平成2）年1月15日第34刷
4140,83,菊池 寛,4822,真珠夫人,新字新仮名,,kompass,Juki、門田裕志、トレンドイースト,公開,2014-06-23,真珠夫人（下）,新潮文庫、新潮社,2002（平成14）年8月1日,2002（平成14）年8月1日
4153,83,菊池 寛,47857,藤十郎の恋,新字新仮名,,川山隆,noriko saito,公開,2008-09-24,藤十郎の恋・恩讐の彼方に,新潮文庫、新潮社,1990（平成2）年1月15日第34刷,1990（平成2）年1月15日第34刷
4261,1154,岸田 国士,44644,演出者として,新字旧仮名,,tatsuki,門田裕志,公開,2010-02-14,岸田國士全集24,岩波書店,1991（平成3）年3月8日,1991（平成3）年3月8日
4307,1154,岸田 国士,44753,感想,新字旧仮名,,tatsuki,門田裕志,公開,2010-07-15,岸田國士全集27,岩波書店,1991（平成3）年12月9日,1991（平成3）年12月9日
4599,1154,岸田 国士,53193,隣の花,新字旧仮名,,kompass,門田裕志,公開,2012-04-11,岸田國士全集3,岩波書店,1990（平成2）年5月8日,1990（平成2）年5月8日
4742,1154,岸田 国士,43581,方言について,新字旧仮名,,大野晋,多羅尾伴内,公開,2005-01-03,日本の名随筆　別巻66　方言,作品社,1996（平成8）年8月20日第1刷,
5093,106,北原 白秋,56910,白南風,新字旧仮名,,光森裕樹,岡村和彦,公開,2015-01-25,白秋全集　10,岩波書店,1986（昭和61）年4月7日,1986（昭和61）年4月7日初版
5097,106,北原 白秋,52370,新頌,旧字旧仮名,,岡村和彦,川山隆,公開,2011-03-01,白秋詩歌集　第二卷,河出書房,1941（昭和16）年2月19日,　
5294,1052,久坂 葉子,59900,幾度目かの最期,新字新仮名,,kompass,The Creative CAT,公開,2019-12-31,幾度目かの最期,講談社文芸文庫、講談社,2005（平成17）年12月10日第1刷,2018（平成30）年4月12日第7刷
5517,38,国木田 独歩,1410,画の悲み,旧字旧仮名,,鈴木厚司,小林繁雄,公開,2001-12-21,定本　国木田独歩全集　第二巻,学習研究社,1995（平成7）年7月3日増補版,1995（平成7）年7月3日増補版
5528,38,国木田 独歩,334,少年の悲哀,新字新仮名,,紅邪鬼,鈴木厚司,公開,2000-07-07,号外・少年の悲哀　他六篇,岩波文庫、岩波書店,1981（昭和56）年4月10日第34刷,2000（平成12）年7月14日第38刷
5664,1092,グリム ヴィルヘルム・カール,59748,ヘンゼルとグレーテル,新字新仮名,矢崎 源九郎,sogo,チエコ,公開,2021-09-20,グリム童話集（1）,偕成社文庫、偕成社,2009（平成21）年6月49刷,2014（平成26）年12月51刷
5670,1092,グリム ヴィルヘルム・カール,42309,ラプンツェル,新字新仮名,中島 孤島,大久保ゆう,鈴木厚司,公開,2005-04-06,グリム童話集,冨山房,1938（昭和13）年12月12日,　
5708,1091,グリム ヤーコプ・ルートヴィッヒ・カール,59748,ヘンゼルとグレーテル,新字新仮名,矢崎 源九郎,sogo,チエコ,公開,2021-09-20,グリム童話集（1）,偕成社文庫、偕成社,2009（平成21）年6月49刷,2014（平成26）年12月51刷
5714,1091,グリム ヤーコプ・ルートヴィッヒ・カール,42309,ラプンツェル,新字新仮名,中島 孤島,大久保ゆう,鈴木厚司,公開,2005-04-06,グリム童話集,冨山房,1938（昭和13）年12月12日,　
5775,1229,クロポトキン ピョートル・アレクセーヴィチ,50263,革命の研究,旧字旧仮名,大杉 栄,クロポトキン・プロジェクト,浜坂邦彦,公開,2014-08-07,革命の研究,コスモス書店,1946（昭和21）年4月20日,　
5843,258,小泉 八雲,52949,夜光虫,新字新仮名,林田 清明,林田清明,林田清明,公開,2011-04-03,,,,
5887,51,幸田 露伴,1436,観画談,新字新仮名,,土屋隆,オーシャンズ３,公開,2008-02-06,幻談・観画談　他三篇,岩波文庫、岩波書店,1994（平成6）年5月15日第6刷,2005（平成17）年11月25日第17刷
5896,51,幸田 露伴,50351,五重塔,新字新仮名,,佐野良二,川山隆,公開,2009-11-03,日本の文学　1　坪内逍遙　二葉亭四迷　幸田露伴,中央公論社,1970（昭和45）年1月5日初版,1970（昭和45）年1月5日初版
5898,51,幸田 露伴,1438,骨董,新字新仮名,,土屋隆,オーシャンズ３,公開,2008-02-06,幻談・観画談　他三篇,岩波文庫、岩波書店,1994（平成6）年5月15日第6刷,2005（平成17）年11月25日第17刷
6338,1059,斎藤 茂吉,43502,仏法僧鳥,新字旧仮名,,kamille,小林繁雄、門田裕志,公開,2005-01-30,斎藤茂吉選集　第八巻,岩波書店,1981（昭和56）年5月27日第1刷,1998（平成10）年8月7日第2刷
6341,1059,斎藤 茂吉,49599,遍路,新字新仮名,,川山隆,門田裕志,公開,2009-07-31,山の旅　大正・昭和篇,岩波文庫、岩波書店,2007（平成19）年8月6日第5刷,2007（平成19）年8月6日第5刷
6382,1095,坂口 安吾,56808,悪妻論,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-05-10,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6386,1095,坂口 安吾,45809,新らしき性格感情,新字旧仮名,,tatsuki,noriko saito,公開,2009-05-26,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
6388,1095,坂口 安吾,45811,新らしき文学,新字旧仮名,,tatsuki,noriko saito,公開,2009-06-07,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
6435,1095,坂口 安吾,42911,家康,新字旧仮名,,tatsuki,小林繁雄,公開,2007-01-17,坂口安吾全集　04,筑摩書房,1998（平成10）年5月22日初版第1刷,1998（平成10）年5月22日初版第1刷
6450,1095,坂口 安吾,56809,意慾的創作文章の形式と方法,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-02-27,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6468,1095,坂口 安吾,56800,オモチャ箱,新字新仮名,,Nana ohbe,酒井裕二,公開,2015-07-06,風と光と二十の私と・いずこへ　他十六篇,岩波文庫、岩波書店,2013（平成25）年1月25日第3刷,2013（平成25）年1月25日第3刷
6477,1095,坂口 安吾,56811,咢堂小論,新字新仮名,,Nana ohbe,酒井裕二,公開,2016-06-12,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷
6484,1095,坂口 安吾,42616,風博士,新字新仮名,,砂場清隆,伊藤時也,公開,2006-01-01,坂口安吾全集１,ちくま文庫、筑摩書房,1989（平成元）年12月25日第2刷,1989（平成元）年12月4日第1刷
